node2	node1	estimate	edges
X45	X25	-8.967901156579737e-17	X25-X45
X45	X26	6.064108937087032e-18	X26-X45
X45	X30	-2.727179954485798e-16	X30-X45
X45	X32	-7.504634290646374e-17	X32-X45
X45	X33	2.9123599443980153e-16	X33-X45
X45	X34	-1.813483025008241e-18	X34-X45
X45	X37	1.07476544421116e-16	X37-X45
X45	X39	1.2014239937125074e-16	X39-X45
X45	X4	4.0621555069981315e-18	X4-X45
X45	X41	-1.9035285138641508e-17	X41-X45
X45	X42	-2.3445926813633842e-17	X42-X45
X45	X44	-3.475567516380523e-18	X44-X45
X45	X45	0.9999999999999983	X45-X45
X45	X46	7.677832962623472e-17	X46-X45
X45	X8	3.520953161079778e-17	X8-X45
X45	X99	-5.304311185018826e-17	X99-X45
X46	X12	-1.1001571773789687e-17	X12-X46
X46	X14	8.489661601880173e-17	X14-X46
X46	X17	-5.956415453494456e-17	X17-X46
X46	X22	-1.0049279961198106e-16	X22-X46
X46	X23	7.716794689578909e-17	X23-X46
X46	X24	-1.1436336773563853e-17	X24-X46
X46	X28	6.63864521173773e-17	X28-X46
X46	X32	-1.4056194837450244e-16	X32-X46
X46	X33	2.340635448242801e-16	X33-X46
X46	X34	1.2503716263173113e-18	X34-X46
X46	X36	-1.0503449991900549e-16	X36-X46
X46	X37	-7.490656150729971e-17	X37-X46
X46	X38	-2.3933815810613597e-16	X38-X46
X46	X41	-1.915206444433914e-17	X41-X46
X46	X43	-9.399900583159214e-17	X43-X46
X46	X46	1.0000000000000013	X46-X46
X46	X52	4.414684056628294e-17	X52-X46
X46	X54	6.660456545143039e-17	X54-X46
X46	X67	5.395029867611743e-17	X67-X46
X46	X68	-6.379839483066709e-17	X68-X46
X46	X79	-7.301665117794424e-17	X79-X46
X47	X14	1.3309098708744242e-16	X14-X47
X47	X22	-1.1846839621016045e-16	X22-X47
X47	X23	1.2846276140982383e-16	X23-X47
X47	X24	9.562803505229441e-18	X24-X47
X47	X28	1.9538399481144033e-16	X28-X47
X47	X32	-1.055905923167455e-16	X32-X47
X47	X33	-1.0953267102055436e-16	X33-X47
X47	X37	-9.310660809466742e-17	X37-X47
X47	X38	1.470467582740612e-16	X38-X47
X47	X39	2.3645843262833346e-16	X39-X47
X47	X4	-6.4204259573135544e-18	X4-X47
X47	X43	2.276706063775473e-16	X43-X47
X47	X46	1.0607922980069708e-16	X46-X47
X47	X47	1.0000000000000018	X47-X47
